"","gene_names"
"1","ENSMUSG00000033845"
"2","ENSMUSG00000025903"
"3","ENSMUSG00000033793"
"4","ENSMUSG00000025907"
"5","ENSMUSG00000061024"
"6","ENSMUSG00000025912"
"7","ENSMUSG00000045210"
"8","ENSMUSG00000098234"
"9","ENSMUSG00000025916"
"10","ENSMUSG00000025917"
"11","ENSMUSG00000056763"
"12","ENSMUSG00000067851"
"13","ENSMUSG00000025935"
"14","ENSMUSG00000025925"
"15","ENSMUSG00000067795"
"16","ENSMUSG00000043716"
"17","ENSMUSG00000025939"
"18","ENSMUSG00000079658"
"19","ENSMUSG00000025940"
"20","ENSMUSG00000025931"
"21","ENSMUSG00000041809"
"22","ENSMUSG00000073730"
"23","ENSMUSG00000026155"
"24","ENSMUSG00000026154"
"25","ENSMUSG00000026153"
"26","ENSMUSG00000048874"
"27","ENSMUSG00000026064"
"28","ENSMUSG00000086727"
"29","ENSMUSG00000026063"
"30","ENSMUSG00000026134"
"31","ENSMUSG00000103746"
"32","ENSMUSG00000004768"
"33","ENSMUSG00000042197"
"34","ENSMUSG00000042111"
"35","ENSMUSG00000026127"
"36","ENSMUSG00000101223"
"37","ENSMUSG00000026125"
"38","ENSMUSG00000037529"
"39","ENSMUSG00000045815"
"40","ENSMUSG00000010453"
"41","ENSMUSG00000001143"
"42","ENSMUSG00000037408"
"43","ENSMUSG00000079610"
"44","ENSMUSG00000087589"
"45","ENSMUSG00000046337"
"46","ENSMUSG00000061518"
"47","ENSMUSG00000037351"
"48","ENSMUSG00000050122"
"49","ENSMUSG00000026112"
"50","ENSMUSG00000026111"
"51","ENSMUSG00000060771"
"52","ENSMUSG00000026087"
"53","ENSMUSG00000058407"
"54","ENSMUSG00000026083"
"55","ENSMUSG00000026082"
"56","ENSMUSG00000073702"
"57","ENSMUSG00000003135"
"58","ENSMUSG00000050967"
"59","ENSMUSG00000057173"
"60","ENSMUSG00000060679"
"61","ENSMUSG00000057363"
"62","ENSMUSG00000041763"
"63","ENSMUSG00000026049"
"64","ENSMUSG00000025995"
"65","ENSMUSG00000041144"
"66","ENSMUSG00000101337"
"67","ENSMUSG00000043629"
"68","ENSMUSG00000060715"
"69","ENSMUSG00000026096"
"70","ENSMUSG00000026095"
"71","ENSMUSG00000096141"
"72","ENSMUSG00000026094"
"73","ENSMUSG00000041303"
"74","ENSMUSG00000025982"
"75","ENSMUSG00000025981"
"76","ENSMUSG00000073676"
"77","ENSMUSG00000025979"
"78","ENSMUSG00000046994"
"79","ENSMUSG00000025977"
"80","ENSMUSG00000100372"
"81","ENSMUSG00000097519"
"82","ENSMUSG00000038323"
"83","ENSMUSG00000025971"
"84","ENSMUSG00000026039"
"85","ENSMUSG00000051223"
"86","ENSMUSG00000026034"
"87","ENSMUSG00000026035"
"88","ENSMUSG00000026037"
"89","ENSMUSG00000026032"
"90","ENSMUSG00000047528"
"91","ENSMUSG00000026027"
"92","ENSMUSG00000047383"
"93","ENSMUSG00000072295"
"94","ENSMUSG00000038079"
"95","ENSMUSG00000097573"
"96","ENSMUSG00000047361"
"97","ENSMUSG00000026021"
"98","ENSMUSG00000026020"
"99","ENSMUSG00000041040"
"100","ENSMUSG00000026018"
"101","ENSMUSG00000026019"
"102","ENSMUSG00000026017"
"103","ENSMUSG00000073664"
"104","ENSMUSG00000025968"
"105","ENSMUSG00000025967"
"106","ENSMUSG00000027520"
"107","ENSMUSG00000025963"
"108","ENSMUSG00000025962"
"109","ENSMUSG00000087213"
"110","ENSMUSG00000026005"
"111","ENSMUSG00000026004"
"112","ENSMUSG00000026000"
"113","ENSMUSG00000053153"
"114","ENSMUSG00000026187"
"115","ENSMUSG00000039342"
"116","ENSMUSG00000046330"
"117","ENSMUSG00000101968"
"118","ENSMUSG00000026182"
"119","ENSMUSG00000006304"
"120","ENSMUSG00000006299"
"121","ENSMUSG00000026179"
"122","ENSMUSG00000073650"
"123","ENSMUSG00000033364"
"124","ENSMUSG00000026174"
"125","ENSMUSG00000026173"
"126","ENSMUSG00000026171"
"127","ENSMUSG00000047021"
"128","ENSMUSG00000026162"
"129","ENSMUSG00000033159"
"130","ENSMUSG00000049339"
"131","ENSMUSG00000026200"
"132","ENSMUSG00000026201"
"133","ENSMUSG00000026203"
"134","ENSMUSG00000026209"
"135","ENSMUSG00000033021"
"136","ENSMUSG00000026245"
"137","ENSMUSG00000032883"
"138","ENSMUSG00000073643"
"139","ENSMUSG00000026248"
